post_date,base_trading_day,title,sentiment,sentiment_score,sentiment_source,url,prev_close,base_close,base_day_intraday_%,T+1_%,T+5_%,T+10_%,T+20_%,max_gain_20d_%,max_draw_20d_%
2025-08-11,2025-08-11,"我的眼壓太高",neutral,0,input,https://www.cmoney.tw/forum/article/173020328,3840,3910,2.89,4.22,8.18,-0.38,1.66,14.32,-7.03
2025-08-06,2025-08-06,"我的眼科醫生 臨時要幫別人開一個 （角膜移植）的大手術",bearish,-1,input,https://www.cmoney.tw/forum/article/172915292,3750,3710,-0.54,1.48,11.05,-1.35,7.28,20.49,-2.02
2025-07-31,2025-07-31,"我的 上篇文",neutral,0,input,https://www.cmoney.tw/forum/article/172781634,3750,3885,3.19,0.26,-3.09,9.4,2.96,15.06,-6.44
2025-07-24,2025-07-24,"趁著 我的眼睛尚未開刀",bullish,1,input,https://www.cmoney.tw/forum/article/172639524,3825,3975,2.85,-2.26,-2.26,-5.28,-4.78,12.45,-8.55
2025-07-22,2025-07-22,"自認是 言之有物 嘔心瀝血",neutral,0,input,https://www.cmoney.tw/forum/article/172588196,3780,3720,-2.62,2.82,2.55,0.81,8.47,20.16,-1.88
2025-07-16,2025-07-16,"世芯-KY 想有一天",bullish,1,input,https://www.cmoney.tw/forum/article/172474993,3370,3600,5.88,4.31,6.25,4.17,14.44,16.25,1.11
2025-07-09,2025-07-09,"6月營收公布後",neutral,0,input,https://www.cmoney.tw/forum/article/172348007,3215,3365,4.34,2.82,6.98,13.67,10.25,18.87,-2.23
2025-07-06,2025-07-07,"颱風夜的感謝與下週的溫馨提醒 各位世芯的好朋友們",bullish,1,input,https://www.cmoney.tw/forum/article/172286604,3190,3220,0.63,-0.16,2.8,17.39,16.61,24.22,-1.71
2025-07-04,2025-07-04,"❤️❤️❤️ 希望沒打擾到您休息哦",bullish,1,input,https://www.cmoney.tw/forum/article/172271116,3175,3190,-0.31,0.94,7.52,23.2,22.1,25.39,-1.57
2025-04-11,2025-04-11,"這是今天（第二篇）文",bullish,1,input,https://www.cmoney.tw/forum/article/170575346,2135,2125,8.7,4.94,3.76,1.65,19.06,19.06,-6.12
2025-04-11,2025-04-11,"依舊很勇敢的出來跟喜愛我的好朋友們聊聊",bullish,1,input,https://www.cmoney.tw/forum/article/170565154,2135,2125,8.7,4.94,3.76,1.65,19.06,19.06,-6.12
2025-04-10,2025-04-10,"昨晚上我睡前 喝了比較多水",neutral,0,input,https://www.cmoney.tw/forum/article/170505787,1945,2135,0,-0.47,3.75,-1.17,7.73,11.71,-8.43
2025-04-08,2025-04-08,"這個是今天第二篇文",bearish,-1,input,https://www.cmoney.tw/forum/article/170439652,2395,2160,0,-9.95,9.26,-7.64,3.24,10.42,-9.95
2025-04-08,2025-04-08,"是近乎無腦的硬湊",neutral,0,input,https://www.cmoney.tw/forum/article/170436065,2395,2160,0,-9.95,9.26,-7.64,3.24,10.42,-9.95
2025-04-06,2025-04-07,"https://www.ctee.com.tw/news/20250406700",neutral,0,input,https://www.cmoney.tw/forum/article/170355102,2660,2395,0,-9.81,-6.89,-12.11,-5.01,-0.63,-18.79
2025-04-06,2025-04-07,"https://www.ctee.com.tw/news/20250406700",neutral,0,input,https://www.cmoney.tw/forum/article/170354984,2660,2395,0,-9.81,-6.89,-12.11,-5.01,-0.63,-18.79
2025-04-04,2025-04-07,"起床看到綠油油",bearish,-1,input,https://www.cmoney.tw/forum/article/170290689,2660,2395,0,-9.81,-6.89,-12.11,-5.01,-0.63,-18.79
